epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
135,3581.22,1.04832,0.64972,0.01152,0.90874,0.82609,0.90643,0.55851,1.39284,0.68007,0.0175,0.000677311,0.000677311,0.000677311
136,3607.48,1.07614,0.65057,0.01231,0.88451,0.8414,0.9027,0.55693,1.37184,0.67755,0.01742,0.00066403,0.00066403,0.00066403
137,3633.8,1.05113,0.64716,0.01196,0.92547,0.84081,0.91006,0.55465,1.37905,0.67319,0.01738,0.00065082,0.00065082,0.00065082
138,3661.78,1.07242,0.62597,0.01216,0.90737,0.84978,0.90594,0.54885,1.39896,0.66754,0.01784,0.000637684,0.000637684,0.000637684
139,3687.98,1.0693,0.64616,0.01205,0.90726,0.84305,0.90584,0.55426,1.38005,0.66305,0.01776,0.000624623,0.000624623,0.000624623
140,3714.51,1.0631,0.65151,0.01199,0.9157,0.85202,0.90792,0.56562,1.36462,0.67065,0.01723,0.00061164,0.00061164,0.00061164
141,3868.49,1.03413,0.62869,0.01138,0.90192,0.84539,0.91088,0.56203,1.3835,0.66694,0.01761,0.000598739,0.000598739,0.000598739
142,3888.03,1.03553,0.66131,0.01163,0.91005,0.84753,0.91065,0.55539,1.38205,0.66085,0.01762,0.000585922,0.000585922,0.000585922
143,3905.96,1.01439,0.65888,0.0115,0.94436,0.8139,0.90611,0.55724,1.3863,0.66056,0.01757,0.000573191,0.000573191,0.000573191
144,3923.87,1.03447,0.64157,0.01184,0.92846,0.81475,0.90976,0.56263,1.37916,0.63697,0.0175,0.000560549,0.000560549,0.000560549
145,3941.83,1.00416,0.58635,0.01138,0.89976,0.83184,0.90662,0.56313,1.36508,0.64022,0.01746,0.000547999,0.000547999,0.000547999
146,3959.63,1.02673,0.6093,0.01141,0.9104,0.84292,0.90525,0.56186,1.37072,0.6491,0.01761,0.000535544,0.000535544,0.000535544
147,3977.53,1.02723,0.62467,0.01141,0.89918,0.83988,0.90707,0.55931,1.38341,0.68113,0.01718,0.000523184,0.000523184,0.000523184
148,3995.39,1.03967,0.63557,0.01157,0.88006,0.85426,0.90851,0.56317,1.37674,0.70244,0.01728,0.000510925,0.000510925,0.000510925
149,4013.22,1.01392,0.59602,0.01163,0.92277,0.83184,0.91088,0.56732,1.35625,0.67467,0.01706,0.000498767,0.000498767,0.000498767
150,4031.11,1.012,0.60237,0.01162,0.91859,0.83632,0.90748,0.55895,1.38066,0.64767,0.01745,0.000486713,0.000486713,0.000486713
151,4049,1.0136,0.60316,0.01136,0.90444,0.84884,0.90913,0.57136,1.35853,0.65736,0.01685,0.000474766,0.000474766,0.000474766
152,4066.8,1.02898,0.61224,0.01197,0.91589,0.82287,0.9009,0.55386,1.3874,0.69915,0.01729,0.000462928,0.000462928,0.000462928
153,4084.67,0.97903,0.59354,0.01099,0.92143,0.83857,0.90552,0.55284,1.39047,0.68424,0.0175,0.000451201,0.000451201,0.000451201
154,4102.59,1.01767,0.58491,0.01139,0.92429,0.8486,0.91806,0.5596,1.3687,0.67672,0.0171,0.000439589,0.000439589,0.000439589
155,4120.5,1.01127,0.60416,0.01162,0.94733,0.80942,0.90872,0.55896,1.38366,0.66405,0.01717,0.000428093,0.000428093,0.000428093
